    58/299     5.92G   0.02482   0.01243  0.003506   0.04076        19       640    0.9311    0.9294    0.9472    0.6445   0.02202  0.007335  0.004701
    59/299     5.92G   0.02487   0.01255  0.003262   0.04069        31       640    0.9321    0.9284    0.9495    0.6477   0.02194  0.007212  0.004714
    60/299     5.92G   0.02441    0.0123  0.003378   0.04009        19       640    0.9348    0.9249     0.947    0.6468   0.02193  0.007295   0.00463
    61/299     5.92G    0.0247   0.01258  0.003561   0.04083        43       640    0.9336    0.9244    0.9463    0.6443   0.02197  0.007268  0.004732
    62/299     5.92G   0.02477   0.01238  0.003327   0.04048        18       640    0.9298    0.9292    0.9489    0.6456   0.02195  0.007261  0.004855
    63/299     5.92G   0.02456   0.01237  0.003246   0.04017        28       640    0.9298    0.9264    0.9486    0.6467   0.02171  0.007313  0.004587
    64/299     5.92G   0.02443   0.01237  0.003436   0.04024        27       640    0.9252    0.9354    0.9493    0.6481   0.02172  0.007232  0.004908
    65/299     5.92G   0.02452   0.01233   0.00305    0.0399        31       640    0.9333    0.9269    0.9497    0.6448   0.02198  0.007309  0.004919
    66/299     5.92G   0.02442   0.01217  0.003305    0.0399        21       640    0.9293    0.9354    0.9491    0.6505   0.02183  0.007267  0.004869
    67/299     5.92G   0.02444   0.01219  0.003266   0.03989        27       640    0.9321    0.9318    0.9513    0.6513    0.0218  0.007301  0.004557
    68/299     5.92G   0.02452   0.01232  0.003127   0.03997        29       640    0.9364     0.926    0.9492    0.6483   0.02189  0.007193  0.004798
    69/299     5.92G   0.02437   0.01238  0.003249   0.03999        38       640    0.9349    0.9321    0.9516     0.648   0.02174  0.007323  0.004587
    70/299     5.92G   0.02435   0.01237  0.003184    0.0399        28       640     0.934    0.9328    0.9518    0.6543   0.02169  0.007212  0.004562
    71/299     5.92G   0.02413   0.01225  0.003087   0.03946        59       640     0.932    0.9325    0.9492    0.6512   0.02173  0.007183  0.004945
    72/299     5.92G   0.02427   0.01209  0.002959   0.03932        36       640    0.9289    0.9336     0.949    0.6483   0.02171  0.007252  0.004697
    73/299     5.92G   0.02425   0.01241  0.003192   0.03985        26       640    0.9324    0.9306    0.9493    0.6512   0.02163  0.007228  0.004868
    74/299     5.92G   0.02412   0.01224  0.003368   0.03973        18       640    0.9322     0.934    0.9502    0.6473   0.02165  0.007269  0.004632
    75/299     5.92G   0.02413   0.01203  0.002957   0.03912        12       640      0.93    0.9346    0.9488    0.6506    0.0216  0.007273  0.004731
    76/299     5.92G    0.0237   0.01204  0.002911   0.03866        14       640    0.9341    0.9247    0.9481    0.6494   0.02156  0.007209  0.004766
    77/299     5.92G    0.0239   0.01211  0.002838   0.03885        17       640    0.9429    0.9204    0.9506    0.6523   0.02151  0.007232  0.004761
    78/299     5.92G   0.02363   0.01204   0.00289   0.03856        20       640    0.9335    0.9339    0.9497      0.65   0.02146  0.007223  0.004636
    79/299     5.92G   0.02377   0.01222  0.003101   0.03909        27       640    0.9442    0.9201    0.9501    0.6522   0.02141   0.00723  0.004837
    80/299     5.92G   0.02376   0.01209  0.002952    0.0388        18       640    0.9417    0.9206    0.9501    0.6507   0.02141  0.007252  0.005024
    81/299     5.92G   0.02363   0.01206  0.002602   0.03829        25       640    0.9332    0.9294    0.9503    0.6528   0.02141  0.007221  0.004814
    82/299     5.92G   0.02329   0.01213  0.002752   0.03818        31       640    0.9353    0.9305    0.9484    0.6499   0.02147   0.00723  0.004827
    83/299     5.92G    0.0234   0.01203  0.003232   0.03866        21       640    0.9352    0.9311    0.9492    0.6537   0.02146  0.007175  0.004773
    84/299     5.92G   0.02369    0.0119  0.002941   0.03853        30       640    0.9274    0.9339    0.9482    0.6519   0.02146  0.007173  0.004788
    85/299     5.92G   0.02359   0.01204  0.002801   0.03843        75       640    0.9418    0.9248    0.9496    0.6526   0.02143  0.007207   0.00468
    86/299     5.92G   0.02328   0.01191  0.002817   0.03801        19       640    0.9426    0.9297    0.9506    0.6531   0.02126  0.007155  0.004717
    87/299     5.92G   0.02334   0.01198  0.002862   0.03818        21       640     0.942    0.9275    0.9521    0.6549   0.02125  0.007163  0.004681
    88/299     5.92G   0.02338   0.01191  0.002905   0.03819        34       640    0.9325    0.9358    0.9523    0.6579   0.02126  0.007139  0.004598
