    91/299     10.8G   0.04091   0.05098  0.003422   0.09531        31       640    0.9446    0.8989    0.9431    0.6217   0.02688   0.02931  0.005113
    92/299     10.8G   0.03998   0.05089  0.003317   0.09419        21       640    0.9251    0.9193    0.9448    0.6195   0.02691   0.02928  0.005136
    93/299     10.8G   0.03933   0.05001  0.003168   0.09251        26       640    0.9322    0.9114    0.9458    0.6199   0.02686   0.02918  0.005312
    94/299     10.8G   0.04018   0.05061  0.003302   0.09409        30       640    0.9391    0.9033     0.945    0.6212   0.02681   0.02909  0.005423
    95/299     10.8G   0.03993    0.0512  0.003394   0.09452        45       640    0.9237    0.9183    0.9425    0.6195    0.0268   0.02919  0.005272
    96/299     10.8G   0.03979   0.05058  0.003447   0.09382        23       640    0.9351    0.9058    0.9439    0.6229   0.02672   0.02916  0.005193
    97/299     10.8G   0.03979   0.04945  0.003402   0.09265        14       640    0.9258    0.9138    0.9434    0.6218   0.02677    0.0292  0.005141
    98/299     10.8G   0.03948   0.05169  0.003285   0.09445        21       640     0.929    0.9105    0.9446     0.622   0.02678   0.02924  0.005141
    99/299     10.8G   0.03994   0.05027  0.003158   0.09337        41       640    0.9252    0.9157    0.9447     0.623   0.02669   0.02916  0.005095
   100/299     10.8G   0.03954   0.04915  0.003255   0.09194        30       640    0.9309    0.9119    0.9456    0.6239   0.02666    0.0292  0.005118
   101/299     10.8G   0.03994   0.05067  0.003142   0.09375        17       640    0.9378    0.9061    0.9445    0.6257   0.02663   0.02908  0.005145
   102/299     10.8G   0.03975   0.05091  0.003361   0.09402        28       640    0.9342    0.9114    0.9447    0.6245   0.02662   0.02928   0.00513
   103/299     10.8G    0.0397   0.05064  0.003045   0.09339        83       640    0.9381    0.9058    0.9426    0.6213   0.02669    0.0293  0.005315
   104/299     10.8G   0.03946   0.05038  0.003194   0.09304        29       640    0.9363    0.9083    0.9434    0.6231   0.02667   0.02924  0.005262
   105/299     10.8G   0.04007   0.05055  0.003156   0.09378        23       640    0.9413    0.9026    0.9426    0.6232   0.02666   0.02921  0.005255
   106/299     10.8G   0.03908   0.04902  0.003203   0.09131        32       640    0.9363    0.9074    0.9431    0.6235   0.02657   0.02911  0.005251
   107/299     10.8G   0.03863   0.05023  0.003312   0.09217        27       640    0.9359    0.9067     0.944    0.6254   0.02656    0.0291  0.005211
   108/299     10.8G   0.03878   0.04997  0.003222   0.09198        30       640    0.9268    0.9166    0.9446    0.6269   0.02651   0.02912  0.005282
   109/299     10.8G   0.03947    0.0504  0.003082   0.09296        27       640    0.9271    0.9171    0.9443    0.6259   0.02651   0.02917  0.005254
   110/299     10.8G   0.03958   0.05067   0.00315   0.09341        30       640    0.9304     0.913    0.9445    0.6274   0.02652   0.02908  0.005212
   111/299     10.8G   0.03952   0.04915  0.003187   0.09186        22       640    0.9363    0.9102    0.9457    0.6272   0.02648    0.0291  0.005134
   112/299     10.8G   0.03881   0.04972  0.002985   0.09152        33       640    0.9338     0.912    0.9455    0.6273   0.02647   0.02907  0.005196
   113/299     10.8G   0.03957   0.05029  0.002995   0.09285        33       640    0.9233    0.9227    0.9459    0.6284   0.02648   0.02902  0.005256
   114/299     10.8G   0.03918   0.05075  0.003061     0.093        28       640    0.9318    0.9129    0.9458    0.6275    0.0265   0.02899  0.005331
   115/299     10.8G   0.03865   0.04946  0.003348   0.09146        29       640    0.9392    0.9043    0.9451    0.6277   0.02648   0.02904  0.005406
   116/299     10.8G   0.03908   0.04952  0.003014   0.09161        19       640      0.94    0.9061    0.9455     0.629   0.02642   0.02898  0.005354
   117/299     10.8G   0.03901   0.05033  0.002985   0.09232        25       640    0.9395    0.9058    0.9457    0.6291   0.02642   0.02901  0.005355
   118/299     10.8G   0.03953   0.05089  0.003288   0.09371        19       640     0.937    0.9059    0.9461    0.6285   0.02641   0.02902  0.005337
   119/299     10.8G   0.03928   0.05061  0.003092   0.09298        30       640    0.9334    0.9087    0.9465    0.6283   0.02637   0.02902  0.005313
   120/299     10.8G   0.03894   0.04974  0.003131   0.09181        61       640    0.9328    0.9096    0.9459    0.6292   0.02632   0.02898  0.005309
   121/299     10.8G   0.03877   0.05073  0.003207   0.09271        17       640    0.9383    0.9048    0.9453     0.629   0.02632   0.02899  0.005297
   122/299     10.8G   0.04028   0.05146  0.003074   0.09482        19       640    0.9379    0.9051    0.9461    0.6283   0.02632   0.02902  0.005272
   123/299     10.8G   0.03875   0.04943  0.003058   0.09123        42       640     0.942    0.8999    0.9453    0.6294   0.02632   0.02896  0.005325
   124/299     10.8G   0.03936   0.05088  0.002916   0.09316        17       640    0.9433    0.9017    0.9458    0.6298   0.02631   0.02895  0.005364
   125/299     10.8G   0.03944   0.04989  0.003098   0.09244        83       640    0.9388    0.9073    0.9459    0.6305   0.02629   0.02893  0.005344
   126/299     10.8G   0.03999   0.05091  0.003126   0.09404        56       640    0.9302    0.9178    0.9461    0.6304   0.02627   0.02893  0.005336
   127/299     10.8G   0.03889   0.04999  0.003188   0.09207        20       640    0.9393    0.9072    0.9455    0.6292   0.02627   0.02899  0.005282
   128/299     10.8G   0.03818   0.04956   0.00326     0.091        25       640    0.9327    0.9139    0.9459    0.6287   0.02627   0.02898  0.005234
   129/299     10.8G    0.0391   0.04991  0.002993   0.09201        15       640    0.9363    0.9124    0.9463    0.6295   0.02625   0.02896   0.00521
   130/299     10.8G    0.0393   0.04987  0.002934   0.09211        28       640    0.9306    0.9167    0.9464    0.6308   0.02624   0.02896    0.0052
